Who ^whp+who+++=Who
Mandy ^np+++??+=Mandy
Chao ^np+++??+=Chao.
. ^zz++++=EXTRAWORD
Whatever ^nn+nom+++=Whatever.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
would ^md+prd+++=would
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
nice ^jj++++=nice
to ^to+jcmp+++=to
hear ^vbi+vprv+++=hear
it ^pp3+it+++=it
from ^in++++=from
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you
know ^vb+vprv+++=know?
? ^zz++++=EXTRAWORD
And ^cc+cls+++=And
I ^pp1a+pp1+++=I
m ^zz++++=m
just ^rb+emph+++=just
hearing ^vbg+vprv++xvbg+=hearing
about ^in++++=about
this ^dt+pdem+++=this
now ^rn+tm+++=now?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
don ^npt++++=don
t ^zz++++=t
have ^vb+hv+vrb++=have
to ^in+strn+++=to,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
should ^md+nec+++=should
want ^vb++++=want
to ^to+vcmp+++=to.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
don ^npt++++=don
t ^zz++++=t
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
d ^zz++++=d
like ^vb++++=like
to ^to+vcmp+++=to
get ^vbi++++=get
lost ^vbd+++xvbn+=lost
in ^in++++=in
her ^pp$+pp3+++=her
Bermuda ^np++++=Bermuda
Triangle ^nn++++=Triangle.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
yet ^rb+cnj+++=yet,
, ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
fun ^nn++++=fun.
. ^zz++++=EXTRAWORD
Ooh ^uh++++=Ooh,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
d ^zz++++=d
let ^vbd+++xvbn+=let
her ^pp$+pp3+++=her
free ^jj++++=free
my ^pp$+pp1+++=my
willy ^np++++=willy.
. ^zz++++=EXTRAWORD
Where ^wrb+who+++=Where
you ^pp2+pp2+++=you
going ^vbg+++xvbg+=going?
? ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
we ^pp1a+pp1+++=we
are ^vb+ber+aux++=are
done ^vpsv++agls+xvbnx+=done.
. ^zz++++=EXTRAWORD
Hey ^uh++++=Hey,
, ^zz++++=EXTRAWORD
Leonard ^np++++=Leonard,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
you ^pp2+pp2+++=you
re ^in++++=re
done ^vprf+++xvbn+=done,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
came ^vbd+++xvbn+=came
up ^rb+phrv+++=up
with ^in+ppvb+++=with
a ^at++++=a
bunch ^nn++++=bunch
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
Hey ^uh++++=Hey,
, ^zz++++=EXTRAWORD
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
eloped ^vbd+++xvbn+=eloped
and ^cc++++=and
we ^pp1a+pp1+++=we
didn ^nn+++??+=didn
t ^zz++++=t
get ^vb++++=get
a ^at++++=a
chance ^nn++++=chance
to ^to+ncmp+++=to
throw ^vbi++++=throw
you ^pp2+pp2+++=you
a ^at++++=a
bachelor ^nn++++=bachelor
party ^nn++++=party,
, ^zz++++=EXTRAWORD
so ^ql++++=so
there ^rn+pl+++=there
s ^zz++++=s
a ^at++++=a
van ^nn++++=van
downstairs ^jjb++++=downstairs
and ^cc++++=and
we ^pp1a+pp1+++=we
re ^in++++=re
here ^rn+pl+++=here
to ^to++++=to
take ^vbi++++=take
you ^pp2+pp2+++=you
to ^in++++=to
a ^at++++=a
surprise ^nn++++=surprise
location ^nn+nom+++=location
for ^in++++=for
the ^ati++++=the
weekend ^nn++++=weekend.
. ^zz++++=EXTRAWORD
Yeah ^uh++++=Yeah,
, ^zz++++=EXTRAWORD
Penny ^nn++++=Penny
packed ^vbd+++xvbn+=packed
you ^pp2+pp2+++=you
a ^at++++=a
bag ^nn++++=bag.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
just ^rb+emph+++=just
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
re ^in++++=re
coming ^xvbg+++xvbg+=coming,
, ^zz++++=EXTRAWORD
too ^rb++++=too.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
I ^pp1a+pp1+++=I
told ^vbd+vpub+tht0+xvbnx+=told
you ^pp2+pp2+++=you
he ^pp3a+pp3+++=he
bit ^nn++++=bit
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
van ^&fw++++=van
was ^vbd+bedz+aux++=was
owned ^vpsv++agls+xvbnx+=owned
and ^cc+phrs+++=and
driven ^vpsv++by+xvbn+=driven
by ^in++++=by
your ^pp$+pp2+++=your
personal ^jj+atrb+++=personal
physics ^nn++++=physics
hero ^nn++++=hero,
, ^zz++++=EXTRAWORD
Richard ^np++++=Richard
Feynman ^np+++??+=Feynman.
. ^zz++++=EXTRAWORD
Yeah ^uh++++=Yeah,
, ^zz++++=EXTRAWORD
nothing ^pn++++=nothing
s ^zz++++=s
been ^vprf+ben+aux+xvbn+=been
changed ^vpsv++agls+xvbnx+=changed
since ^cs+sub+++=since
he ^pp3a+pp3+++=he
drove ^vbd+++xvbnx+=drove
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Uh ^uh++++=Uh,
, ^zz++++=EXTRAWORD
okay ^rb+cnj+++=okay,
, ^zz++++=EXTRAWORD
let ^jj+atrb++xvbn+=let
s ^zz++++=s
see ^vb+vprv+++=see.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
ve ^nn+++??+=ve
got ^vbd+++xvbn+=got
spicy ^nn+++??+=spicy
food ^nn++++=food
and ^cc++++=and
there ^rn+pl+++=there
s ^zz++++=s
a ^at++++=a
chance ^nn++++=chance
you ^pp2+pp2+++=you
ll ^nn+++??+=ll
get ^vb++++=get
diarrhoea ^nn+++??+=diarrhoea.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
can ^md+pos+++=can
drive ^vb++++=drive
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
s ^zz++++=s
wrong ^jj++++=wrong
with ^in++++=with
Mexico ^np++++=Mexico?
? ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
don ^npt++++=don
t ^zz++++=t
have ^vb+hv+vrb++=have
any ^dti++++=any
of ^in++++=of
those ^dt+pdem+++=those.
. ^zz++++=EXTRAWORD
Dude ^np+++??+=Dude,
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
many ^ap++++=many
races ^nns++++=races
can ^md+pos+++=can
you ^pp2+pp2+++=you
offend ^vb++++=offend
in ^in++++=in
a ^at++++=a
single ^jj+atrb+++=single
breath ^nn++++=breath?
? ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
some ^dti++++=some
of ^in++++=of
his ^pp$+pp3+++=his
mojo ^nn+++??+=mojo
will ^md+prd+++=will
rub ^vb++++=rub
off ^rp+pl+++=off
on ^rp++++=on
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
Maybe ^rb+hdg+++=Maybe
between ^in++++=between
this ^dt+pdem+++=this
and ^cc++++=and
his ^pp$+pp3+++=his
beach ^npl++++=beach
house ^npl++++=house,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
will ^md+prd+++=will
be ^vb+be+aux++=be
inspired ^vpsv++agls+xvbnx+=inspired
to ^to+vcmp+++=to
greatness ^nns+nom+++=greatness.
. ^zz++++=EXTRAWORD
When ^wrb+who+whq++=When
did ^vbd+dod+vrb++=did
you ^pp2+pp2+++=you
learn ^vb+vprv+++=learn
how ^wrb+who+whcl++=how
to ^in++++=to
change ^nn++++=change
a ^at++++=a
tyre ^np++++=tyre?
? ^zz++++=EXTRAWORD
Are ^vb+ber+aux++=Are
you ^pp2+pp2+++=you
turning ^vbg+++xvbg+=turning
it ^pp3+it+++=it
the ^ati++++=the
right ^jj+atrb+++=right
way ^nn++++=way?
? ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here,
, ^zz++++=EXTRAWORD
let ^j+++xvbn+=let
me ^pp1o+pp1+++=me
try ^vb++++=try.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
re ^in++++=re
right ^nn++++=right,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
doesn ^nn+++??+=doesn
t ^zz++++=t
turn ^nn++++=turn
the ^ati++++=the
other ^ap++++=other
way ^nn++++=way.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
s ^zz++++=s
called ^vbd+++xvbn+=called
Lamaze ^np+++??+=Lamaze
breathing ^vwbg+++xvbg+=breathing.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
helps ^vbz++++=helps
you ^pp2+pp2+++=you
push ^vb++++=push.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There
s ^zz++++=s
got ^vbd+++xvbn+=got
to ^to+vcmp+++=to
be ^vbi++vrb++=be
a ^at++++=a
smarter ^jjr+atrb+++=smarter
way ^nn++++=way
of ^in++++=of
removing ^xvbg+++xvbg+=removing
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Of ^in+emph+++=Of
course ^nn+emph"+++=course.
. ^zz++++=EXTRAWORD
All ^abn++++=All
we ^pp1a+pp1+++=we
need ^nn++++=need
is ^vbz+bez+aux++=is
to ^to++++=to
find ^vbi+vprv+++=find
stuff ^nn++++=stuff
to ^to++++=to
make ^vbi++++=make
a ^at++++=a
lever ^&fw++++=lever
big ^jj++++=big
enough ^qlp++++=enough
to ^to++++=to
fix ^vbi++++=fix
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=was
Star ^nn++++=Star
Trek ^nn++++=Trek,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
could ^md+pos+++=could
use ^vb++++=use
a ^at++++=a
phaser ^nn++++=phaser
to ^in++++=to
blast ^nn++++=blast
it ^pp3+it+++=it
off ^rp+pl+++=off.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
need ^vb++++=need
a ^at++++=a
green ^jj+atrb+++=green
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
why ^wrb+who+++=why
not ^xnot++not++=not
just ^rb+emph+++=just
use ^vb++++=use
the ^ati++++=the
Hulk ^nn++++=Hulk?
? ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
will ^md+prd+++=will,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
will ^md+prd+++=will
percussive ^jj+atrb+++=percussive
shock ^nn++++=shock
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
no ^at++++=no
idea ^nn++++=idea
tortilla ^nn+++??+=tortilla
chips ^nns++++=chips
were ^vbd+bed+vrb++=were
such ^abl++++=such
a ^at++++=a
good ^jj+atrb+++=good
fuel ^nn++++=fuel
source ^nn++++=source.
. ^zz++++=EXTRAWORD
Is ^vbz+bez+vrb++=Is
that ^tht+vcmp+++=that
enough ^qlp++++=enough
to ^to++++=to
melt ^vbi++++=melt
the ^ati++++=the
lug ^nn+++??+=lug
nut ^nn++++=nut?
? ^zz++++=EXTRAWORD
Hey ^uh++++=Hey,
, ^zz++++=EXTRAWORD
look ^vb++++=look,
, ^zz++++=EXTRAWORD
the ^ati++++=the
lug ^nn+++??+=lug
nut ^nn++++=nut
s ^zz++++=s
off ^in+strn+++=off.
. ^zz++++=EXTRAWORD
Have ^vb+hv+aux++=Have
you ^pp2+pp2+++=you
seen ^vbd+vprv++xvbn+=seen
this ^dt+dem+++=this
Archie ^np++++=Archie
comic ^nn++++=comic?
? ^zz++++=EXTRAWORD
It ^pp3+it+++=It
s ^zz++++=s
actually ^rb+amp+++=actually
Archie ^np++++=Archie
versus ^in++++=versus
Predator ^np+++??+=Predator.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
don ^npt++++=don
t ^zz++++=t
know ^vb+vprv+++=know.
. ^zz++++=EXTRAWORD
Maybe ^rb+hdg+++=Maybe
Jughead ^np+++??+=Jughead
s ^zz++++=s
a ^at++++=a
Terminator ^np+++??+=Terminator.
. ^zz++++=EXTRAWORD
Hey ^uh++++=Hey,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
ve ^nn+++??+=ve
always ^rb++++=always
talked ^vbd+++xvbn+=talked
about ^in++++=about
playing ^xvbg+++xvbg+=playing
together ^nn+nom+++=together.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
could ^md+pos+++=could
play ^vb++++=play
filk ^nn+++??+=filk
music ^nn++++=music.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
s ^zz++++=s
been ^vprf+ben+vrb+xvbn+=been
around ^rp++++=around
for ^in++++=for
years ^nns++++=years.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
s ^zz++++=s
like ^in++++=like
folk ^jjb+atrb+++=folk
music ^nn++++=music,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
with ^in++++=with
a ^at++++=a
sci ^nn+++??+=sci-fi/fantasy
- ^zz++++=EXTRAWORD
fi ^nn+++??+=EXTRAWORD
theme ^nn++++=theme.
. ^zz++++=EXTRAWORD
Dude ^np+++??+=Dude,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
we ^pp1a+pp1+++=we
do ^vb+do+vrb++=do
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
re ^in++++=re
gonna ^md+prd+++0=gonna
need ^vb++++=need
a ^at++++=a
cool ^jj+atrb+++=cool
band ^nn++++=band
name ^nn++++=name.
. ^zz++++=EXTRAWORD
Really ^rb+emph+++=Really?
? ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
is ^vbz+bez+aux++=is
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
just ^rb+emph+++=just
got ^vbd+++xvbn+=got
chills ^nns+++??+=chills.
. ^zz++++=EXTRAWORD
So ^ql++++=So
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
an ^at++++=an
idea ^nn++++=idea
for ^in++++=for
a ^at++++=a
filk ^nn+++??+=filk
song ^nn++++=song.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
s ^zz++++=s
kind ^rb+hdg+++=kind
of ^rb"+hdg"+++=of
a ^at++++=a,
, ^zz++++=EXTRAWORD
a ^at++++=a
power ^nn++++=power
ballad ^nn++++=ballad,
, ^zz++++=EXTRAWORD
superhero ^nn+++??+=superhero
crossover ^jjr+atrb+++=crossover
tale ^nn++++=tale
of ^in++++=of
epic ^jj+atrb+++=epic
proportions ^nns+nom+++=proportions.
. ^zz++++=EXTRAWORD
Okay ^rb+cnj+++=Okay,
, ^zz++++=EXTRAWORD
so ^ql++++=so
it ^pp3+it+++=it
s ^zz++++=s
a ^at++++=a,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
s ^zz++++=s
a ^at++++=a
David ^np++++=David
and ^cc++++=and
Goliath ^np+++??+=Goliath
story ^nn++++=story.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
s ^zz++++=s
about ^in++++=about
man ^nn++++=man
against ^in++++=against
God ^nn++++=God.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
s ^zz++++=s
called ^vbd+++xvbn+=called
Hammer ^nn++++=Hammer
and ^cc++++=and
Whip ^nn++++=Whip,
, ^zz++++=EXTRAWORD
The ^ati++++=The
Untold ^jj+atrb+++=Untold
Story ^nn++++=Story
of ^in++++=of
Thor ^np++++=Thor
versus ^in++++=versus
Indiana ^np+++??+=Indiana
Jones ^np++++=Jones.
. ^zz++++=EXTRAWORD
Okay ^rb+cnj+++=Okay,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
don ^npt++++=don
t ^zz++++=t
have ^vb+hv+vrb++=have
it ^pp3+it+++=it
all ^abn++++=all
worked ^jj+++xvbn+=worked
out ^rp+pl+++=out
yet ^rb+cnj+++=yet,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
thinking ^vbg+++xvbgx+=thinking
something ^pn++++=something
like ^in+strn+++=like,
, ^zz++++=EXTRAWORD
um ^uh++++=um,
, ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
Indy ^np+++??+=Indy,
, ^zz++++=EXTRAWORD
oh ^uh++++=oh,
, ^zz++++=EXTRAWORD
Indy ^np+++??+=Indy,
, ^zz++++=EXTRAWORD
the ^ati++++=the
skies ^nns++++=skies
are ^vb+ber+vrb++=are
so ^ql+emph+++=so
windy ^jj++++=windy.
. ^zz++++=EXTRAWORD
Is ^vbz+bez+vrb++=Is
that ^tht+vcmp+++=that
a ^at++++=a
flying ^jj+atrb++xvbg+=flying
man ^nn++++=man
with ^in++++=with
a ^at++++=a
killer ^nn++++=killer
bod ^nn+++??+=bod?
? ^zz++++=EXTRAWORD
Wait ^vb++++=Wait,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
s ^zz++++=s
no ^at++++=no
man ^nn++++=man,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
s ^zz++++=s
a ^at++++=a
Norse ^np+++??+=Norse
god ^np++++=god.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
so ^ql+emph+++=so
good ^jj++++=good!
! ^zz++++=EXTRAWORD
Okay ^rb+cnj+++=Okay,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
here ^rn+pl+++=here
s ^zz++++=s
the ^ati++++=the
hook ^nn++++=hook.
. ^zz++++=EXTRAWORD
Thor ^np++++=Thor
and ^cc++++=and
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Jones ^np++++=Jones.
. ^zz++++=EXTRAWORD
Thor ^np++++=Thor
and ^cc++++=and
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Jones ^np++++=Jones.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
plays ^nns++++=plays
with ^in++++=with
lightning ^nn++++=lightning,
, ^zz++++=EXTRAWORD
the ^ati++++=the
other ^ap++++=other
plays ^nns++++=plays
with ^in++++=with
bones ^nns++++=bones.
. ^zz++++=EXTRAWORD
Thor ^np++++=Thor
and ^cc++++=and
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Jones ^np++++=Jones.
. ^zz++++=EXTRAWORD
Thor ^np++++=Thor
and ^cc++++=and
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Jones ^np++++=Jones.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
plays ^nns++++=plays
with ^in++++=with
lightning ^nn++++=lightning,
, ^zz++++=EXTRAWORD
the ^ati++++=the
other ^ap++++=other
plays ^nns++++=plays
with ^in++++=with
bones ^nns++++=bones.
. ^zz++++=EXTRAWORD
Hey ^uh++++=Hey,
, ^zz++++=EXTRAWORD
remember ^nn+nom+++=remember
The ^ati++++=The
Ark ^nn++++=Ark
of ^in++++=of
the ^ati++++=the
Covenant ^nn+nom+++=Covenant?
? ^zz++++=EXTRAWORD
That ^dt+dem+++=That
s ^zz++++=s
how ^wrb+who+++=how
much ^rb++++=much
we ^pp1a+pp1+++=we
re ^in++++=re
gonna ^nn++++=gonna
melt ^vb++++=melt
people ^nns++++=people
s ^zz++++=s
faces ^nns++++=faces
off ^in+strn+++=off.
. ^zz++++=EXTRAWORD
Thor ^np++++=Thor
and ^cc++++=and
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Jones ^np++++=Jones.
. ^zz++++=EXTRAWORD
Thor ^np++++=Thor
and ^cc++++=and
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Jones ^np++++=Jones.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
runs ^nns++++=runs
from ^in++++=from
Loki ^np+++??+=Loki,
, ^zz++++=EXTRAWORD
the ^ati++++=the
other ^ap++++=other
runs ^nns++++=runs
from ^in++++=from
stones ^nns++++=stones.
. ^zz++++=EXTRAWORD
So ^rb+cnj+++=So,
, ^zz++++=EXTRAWORD
what ^wdt+who+whq++=what
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
think ^vb+vprv+++=think?
? ^zz++++=EXTRAWORD
Runs ^vbz++++=Runs
from ^in++++=from
stones ^nns++++=stones
means ^nns++++=means
that ^tht+rel+++=that,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
big ^jj+atrb+++=big
boulder ^nn++++=boulder,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
couldn ^nn+++??+=couldn
t ^zz++++=t
rhyme ^nn++++=rhyme
anything ^pn++++=anything
with ^in++++=with
boulder ^nn++++=boulder.
. ^zz++++=EXTRAWORD
Right ^jj++++=Right,
, ^zz++++=EXTRAWORD
yeah ^uh++++=yeah,
, ^zz++++=EXTRAWORD
right ^jj++++=right.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But,
, ^zz++++=EXTRAWORD
what ^wdt+who+whq++=what
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
think ^vb+vprv+++=think?
? ^zz++++=EXTRAWORD
Cute ^jj++++=Cute?
? ^zz++++=EXTRAWORD
It ^pp3+it+++=It
s ^zz++++=s
not ^xnot++not++=not
cute ^jj++++=cute.
. ^zz++++=EXTRAWORD
Cute ^jj++++=Cute
is ^vbz+bez+aux++=is
children ^nns++++=children
dressed ^vbd+++xvbn+=dressed
as ^ql++++=as
vegetables ^nns++++=vegetables.
. ^zz++++=EXTRAWORD
Just ^rb+emph+++=Just
be ^vb+be+vrb++=be
honest ^jj+pred+++=honest.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
don ^npt++++=don
t ^zz++++=t
like ^in++++=like
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
can ^md+pos+++=can
dance ^vb++++=dance
to ^in++++=to
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
Um ^uh++++=Um,
, ^zz++++=EXTRAWORD
uh ^uh++++=uh,
, ^zz++++=EXTRAWORD
uh ^uh++++=uh,
, ^zz++++=EXTRAWORD
Thor ^np++++=Thor
and ^cc++++=and
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Jones ^np++++=Jones.
. ^zz++++=EXTRAWORD
Thor ^np++++=Thor
and ^cc++++=and
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Jones ^np++++=Jones.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
plays ^nns++++=plays
with ^in++++=with
lightning ^nn++++=lightning,
, ^zz++++=EXTRAWORD
the ^ati++++=the
other ^ap++++=other
plays ^nns++++=plays
with ^in++++=with
bones ^nns++++=bones.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
m ^zz++++=m
telling ^vwbg+++xvbg+=telling
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
dude ^nn+++??+=dude,
, ^zz++++=EXTRAWORD
the ^ati++++=the
song ^nn++++=song
has ^vbz+hvz+vrb++=has
no ^at++++=no
groove ^nn++++=groove,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
can ^md+pos+++=can
t ^zz++++=t
dance ^nn++++=dance
to ^in++++=to
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
can ^md+pos+++=can
do ^vb+do+vrb++=do
both ^abx++++=both,
, ^zz++++=EXTRAWORD
like ^in++++=like
Michael ^np++++=Michael
Jackson ^np++++=Jackson
s ^zz++++=s
Billie ^np++++=Billie
Jean ^np++++=Jean.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
you ^pp2+pp2+++=you
re ^in++++=re
